Timestamp	We are trying to better understand flaky tests and we would love your input.  Filling out this short questionnaire can help us gain a much better understanding of flaky tests and the challenges they present. Your responses to this questionnaire will be used as part of a research project, as explained in the Participant Information Sheet (https://docs.google.com/document/d/1ShwU1k1v3ZK7tft2ysszmzO0Bj8yY5jcLtkAGB_-808). Unless you choose to provide your email address, no personal information will be collected and your responses will be anonymous. Where there are open-ended questions, your words may be quoted in publications and other research outputs. Your responses will be made publicly available, with the exception of your email address if you choose to provide it, as part of an aggregated data set from the responses of all participants. You are free to withdraw from this study at any time by closing this questionnaire before you submit, or if you have already submitted, by contacting us (contact details are available in the Participant Information Sheet). Please indicate that you consent to these conditions. If you do not consent, please do not proceed with the questionnaire.	A flaky test is a test case that can both pass and fail without any changes to the code under test. Do you agree with this definition?	If you answered "No, I do not agree" to the previous question, please give your own definition of a flaky test.	How often do you observe flaky tests in the projects you’re currently working on?	To what extent do you agree with the following statements: [Flaky tests reduce the reliability of testing.]	To what extent do you agree with the following statements: [Flaky tests reduce the efficiency of testing.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of productivity.]	To what extent do you agree with the following statements: [Flaky tests lead to a loss of confidence in testing.]	To what extent do you agree with the following statements: [Flaky tests hinder continuous integration.]	To what extent do you agree with the following statements: [Flaky tests make it more likely for you to ignore (potentially genuine) test failures.]	To what extent do you agree with the following statements: [It is difficult to reproduce a flaky test failure.]	To what extent do you agree with the following statements: [It is difficult to differentiate between a test failure due to a genuine bug and a test failure due to flakiness.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not correctly waiting for the results of asynchronous calls to become available.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Synchronization issues between multiple threads interacting in an unsafe or unanticipated manner (e.g., data races, atomicity violations, deadlocks).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Tests not properly cleaning up after themselves or failing to set up their necessary preconditions.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Improper management of resources (e.g., not closing a file or not deallocating memory).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Dependency on a network connection.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Not accounting for all the possible outcomes of random data generators or code that uses them.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reliance on the local system time/date.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Inaccuracies when performing floating point operations.]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Assuming a particular iteration order for an unordered collection-type object (e.g., sets).]	In the projects you’re currently working on, how often have you encountered flaky tests caused by... [Reasons that cannot be precisely determined.]	Have you encountered any other causes of flaky tests that we have not described above?	After identifying a flaky test, how often do you… [Take no action.]	After identifying a flaky test, how often do you… [Re-run the build.]	After identifying a flaky test, how often do you… [Document and defer (e.g., submit an issue/bug report).]	After identifying a flaky test, how often do you… [Delete the test.]	After identifying a flaky test, how often do you… [Quarantine the test.]	After identifying a flaky test, how often do you… [Mark the test to be skipped or as an expected failure (e.g., xfail).]	After identifying a flaky test, how often do you… [Mark the test to be automatically repeated (e.g., by using the flaky plugin for pytest).]	After identifying a flaky test, how often do you… [Attempt to repair the flakiness.]	Are there any other actions that you would take that we have not listed above?	Which languages are you currently developing in?	How many years experience do you have in commercial and/or open-source software development?	Thanks for taking part, is there anything else that you would like to tell us about flaky tests?	If you would like to be notified of the results of this study, please leave us your email (optional).
6/30/2021 17:35:10	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Agree	Strongly agree	Never	Never	Rarely	Never	Sometimes	Rarely	Often	Never	Sometimes	Sometimes	Parallel builds of different branches of the same project sometimes interfering with each other 	Sometimes	Often	Rarely	Never	Never	Never	Never	Sometimes		JavaScript, PHP	9 - 12		
6/30/2021 17:46:55	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Sometimes	Sometimes	Sometimes	Sometimes		Rarely	Sometimes	Rarely	Rarely	Sometimes		Often	Often	Sometimes	Sometimes	Sometimes	Rarely	Never	Often		JavaScript, TypeScript, Go	2 - 4		
6/30/2021 17:54:54	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Rarely	Sometimes	Rarely	Never	Rarely	Never	Never	Never	Never	Rarely	Relying on integrated tests where the integrated system produces different responses when called - rarely. And relying on deteriorated test data - rarely.	Never	Sometimes	Rarely	Rarely	Never	Never	Never	Often		JavaScript, Java, TypeScript, Kotlin	5 - 8	We always attempt to fix flaky tests to make them reliable, because the original intent for the test was to provide valuable clarification as to whether something was working or not. Only on rare occasions do we defer a fix due to time constraints on bug fixing, or we delete it because the flaky test provides little to no added value for the trouble it causes.  However, the biggest problematic consequence we face due to flaky tests is not Continuous Integration or mischievous builds (though they are big issues), but in Developer Confidence. If builds repeatedly fail for flaky reasons and we get used to that, then this (often combined with other factors) leads to a loss of confidence in the reliability and robustness of our tests, which unfortunately tends to lead to an increase in manual testing and other bad testing practices in an attempt to regain our confidence in the code we write, which just causes further problems and the spiral continues. And where Developer Confidence does affect productivity, it also increases workloads, causes stress & anxiety and ultimately the enjoyment of development work.  Since a sustainable, enjoyable work ethic is vital to every organisation, spending 5-10 minutes fixing a flaky test when we spot one, is worth that effort to prevent us ending up in a distressing work environment.	
6/30/2021 19:26:48	Yes, I consent.	Yes, I agree		Weekly	Agree	Agree	Agree	Disagree	Strongly agree	Agree	Agree	Disagree	Rarely	Sometimes	Often	Never	Never	Rarely	Sometimes	Never	Rarely	Never		Rarely	Often	Sometimes	Rarely	Never	Rarely	Never	Rarely		Java, Go	2 - 4		
6/30/2021 19:32:09	Yes, I consent.	Yes, I agree		A few times a year	Strongly agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Sometimes	Rarely	Sometimes	Sometimes	Never	Rarely	Never	Never	Never	Never		Never	Sometimes	Rarely	Rarely	Never	Never	Never	Sometimes		JavaScript	9 - 12		
6/30/2021 19:37:53	Yes, I consent.	Yes, I agree		A few times a year	Agree	Strongly agree	Agree	Disagree	Strongly agree	Strongly disagree	Disagree	Disagree	Never	Never	Sometimes	Rarely	Never	Never	Rarely	Never	Sometimes	Never		Never	Often	Never	Never	Rarely	Rarely	Never	Often		JavaScript, Python, Java, Go, Kotlin, bash	13 +		
6/30/2021 19:46:50	Yes, I consent.	Yes, I agree		Monthly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Sometimes	Often	Never	Sometimes	Rarely	Changes to other services in a microservice architecture	Never	Sometimes	Never	Rarely	Rarely	Rarely	Never	Often	Split test suite up. Reorder tests to fail faster	JavaScript, Scala	5 - 8	Library support for automatically handling them in Scala is poor or not well popularised.	
6/30/2021 20:12:15	Yes, I consent.	Yes, I agree		Weekly	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Sometimes	Sometimes	Often	Rarely	Rarely	Never	Rarely	Never	Rarely	Rarely	- Third party artifacts, services, or dependencies (e.g., npm package, test harness which depends on a third party service, etc.) which you do not have full control of. - Assuming a specific initial state, where the state can be modified globally -- more concretely: implicit dependency on global state. This can be as simple as static variables, a large distributed data store, or even something like a shared ML model.	Sometimes	Often	Sometimes	Sometimes	Sometimes	Often	Never	Sometimes	When the test depends on the global state (e.g., a shared resource like a database), sometimes the flakiness is caused by incorrect initial state in that resource. And the test needs to be neither deleted/skipped, nor repaired, but rather, the state of the resource needs to be repaired. Of course, it goes without saying that the shared global state is a bad practice that sooner or later leads to flaky tests.	JavaScript, Java, TypeScript, Go	13 +		
6/30/2021 21:13:23	Yes, I consent.	Yes, I agree		Daily	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Often	Rarely	Rarely	Sometimes	Rarely	Rarely	Never	Never	Never	Rarely		Sometimes	Often	Often	Never	Rarely	Sometimes	Sometimes	Rarely		C#	2 - 4		
6/30/2021 21:46:44	Yes, I consent.	Yes, I agree		A few times a year	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Never	Sometimes	Never	Sometimes	Sometimes		Never	Often	Never	Sometimes	Never	Sometimes	Never	Often		Java	13 +		
